"","x"
"1",0
"2",0
"3",0
"4",0.372761100035859
"5",8.72590601444244
"6",4.95049864053726
"7",0.00233173370361328
"8",0
"9",0.258112907409668
"10",0
"11",0.0464982986450195
"12",9.84817409515381
"13",0.0426502227783203
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0.0844821929931641
"20",6.68231201171875
"21",12.1213836669922
"22",3.60337448120117
"23",0.0902633666992188
"24",0.0323104858398438
"25",6.35828471183777
"26",9.73653030395508
"27",6.51352429389954
"28",3.19814252853394
"29",0.0994491577148438
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",1.55765533447266
"41",0.0012054443359375
"42",0.459587097167969
"43",0.00566864013671875
"44",3.085608959198
"45",13.1531143188477
"46",11.3918972015381
"47",9.75026702880859
"48",1.76287078857422
"49",6.81771087646484
"50",1.75334167480469
"51",0.831748962402344
"52",0.315147399902344
"53",0.118598937988281
"54",4.81275177001953
"55",7.22857666015625
"56",5.71203708648682
"57",0.148773193359375
"58",1.14544677734375
"59",0
"60",0.0479583740234375
"61",10.3525085449219
"62",1.01976013183594
"63",0.0031890869140625
"64",0.255874633789062
"65",4.35443115234375
"66",25.9274444580078
"67",9.09836006164551
"68",2.11221313476562
"69",0
"70",0.295806884765625
"71",0
"72",0
"73",0.000704765319824219
"74",1.29525279998779
"75",0.0299530029296875
"76",0.286234855651855
"77",0.211300849914551
"78",0.916519165039062
"79",0.967071533203125
"80",0
"81",8.86769676208496
"82",14.2911262512207
"83",0.839706420898438
"84",8.72200012207031
"85",0.234161376953125
"86",7.35559272766113
"87",0.264080047607422
"88",6.73764610290527
"89",0.112777709960938
"90",0.195907592773438
"91",2.81341361999512
"92",3.82406044006348
"93",3.5102424621582
"94",2.60079956054688
"95",5.26199722290039
"96",2.12055969238281
"97",0.05780029296875
"98",10.1592102050781
"99",0.731716156005859
"100",0
"101",0
"102",0
"103",0
"104",0.01885986328125
"105",0
"106",2.44083023071289
"107",0.64288330078125
"108",2.93341445922852
"109",4.63084411621094
"110",0.038055419921875
"111",0.379165649414062
"112",0.0462799072265625
"113",0.210601806640625
"114",0.216384887695312
"115",1.42153930664062
"116",0.0992584228515625
"117",0
"118",0
